n_id,neighbourhood
1,Charleswood - Tuxedo - Westwood
2,Daniel McIntyre
3,Elmwood - East Kildonan
4,Fort Rouge - East Fort Garry
5,Mynarski
6,North Kildonan
7,Old Kildonan
8,Point Douglas
9,River Heights - Fort Garry
10,St. Boniface
11,St. James
12,St. Norbert - Seine River
13,St. Vital
14,Transcona
15,Waverley West
