id,first_review,last_review,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
49052189,2021-04-19,2023-05-24,50,26,1,5,5,5,5,5,5,5,2
49052563,2022-06-01,2023-04-02,5,4,0,5,5,5,5,5,5,5,0
49062703,2022-04-11,2023-02-02,13,12,0,5,5,4,5,5,5,5,1
49093020,2021-07-31,2023-02-26,6,1,0,5,5,5,5,5,5,5,0
49108945,2021-04-26,2023-06-09,180,76,8,5,5,5,5,5,5,5,7
49129488,2021-04-30,2021-09-16,3,0,0,3,3,4,4,4,4,3,0
49145135,2021-05-03,2023-05-28,9,8,2,5,5,5,5,5,5,5,0
49150865,2021-09-01,2023-03-19,10,4,0,5,5,5,5,5,5,5,0
49160071,2021-05-02,2022-09-02,7,1,0,5,5,5,5,5,4,4,0
49160669,2021-05-10,2022-10-09,21,2,0,5,5,5,5,5,5,5,1
49194336,2021-05-31,2023-05-28,20,5,2,5,5,5,5,5,5,5,1
49199398,2021-04-17,2023-05-18,73,20,1,5,5,5,5,5,5,5,3
49207246,2021-05-06,2023-01-11,11,1,0,5,5,5,5,5,5,5,0
49237470,2021-08-23,2021-09-24,3,0,0,5,5,5,5,5,5,5,0
49322050,2021-04-23,2023-05-07,26,24,0,5,5,5,5,5,5,5,1
49346729,2021-05-03,2023-05-12,89,43,1,5,5,5,5,5,5,5,3
49503565,2021-05-16,2023-06-05,63,35,4,5,5,5,5,5,5,5,3
49517750,2021-05-10,2023-04-07,34,6,0,5,5,5,5,5,5,5,1
49518311,2021-05-07,2022-06-10,28,0,0,5,5,5,5,5,5,5,1
49628666,2021-05-17,2023-06-04,29,9,1,5,5,5,5,5,5,5,1
49716200,2021-05-12,2023-05-27,121,53,1,5,5,5,5,5,5,5,5
49736628,2021-05-16,2023-05-23,30,20,1,4,4,4,5,5,5,5,1
49749631,2021-07-21,2023-05-21,9,2,1,5,5,5,5,5,5,5,0
49907603,2021-05-29,2023-05-20,108,37,1,5,5,5,5,5,5,5,4
49961906,2022-10-03,2023-03-03,3,3,0,5,4,5,5,5,5,5,0
50035194,2021-07-05,2023-06-09,31,26,4,5,5,5,5,5,5,5,1
50045534,2023-02-05,2023-04-07,3,3,0,5,5,5,5,5,5,5,1
50053749,2021-06-08,2023-06-10,32,20,7,5,5,5,5,5,5,5,1
50085065,2021-07-17,2023-05-09,34,18,0,5,5,4,5,5,5,5,1
50211622,2021-07-18,2023-04-25,13,6,0,5,5,5,5,5,5,5,1
50216159,2023-06-02,2023-06-02,1,1,1,5,5,5,5,5,5,5,1
50247259,2021-08-11,2023-05-29,27,15,2,5,5,5,5,5,4,5,1
50262474,2021-07-04,2023-05-15,9,8,1,5,5,5,5,5,4,4,0
50262688,2022-06-11,2023-05-14,11,11,1,5,4,5,5,5,3,4,1
50262792,2023-01-31,2023-05-28,4,4,1,5,5,5,5,5,4,5,1
50268916,2021-08-15,2023-05-23,48,27,2,5,5,5,5,5,5,5,2
50290953,2021-09-06,2023-06-04,60,33,2,5,5,5,5,5,5,5,3
50292752,2021-08-11,2022-07-25,7,1,0,4,4,4,4,5,5,4,0
50462775,2021-08-06,2023-05-30,13,2,1,5,5,5,5,5,5,5,1
50464678,2021-06-22,2023-05-01,46,13,0,5,5,5,5,5,5,5,2
50509425,2021-09-01,2022-07-10,2,1,0,5,5,5,5,5,5,5,0
50588877,2021-07-15,2023-04-16,24,10,0,4,4,4,4,4,4,4,1
50588880,2021-06-27,2023-04-02,13,7,0,4,4,5,4,5,5,4,1
50600747,2021-07-08,2023-05-27,26,17,3,5,5,5,5,5,5,5,1
